id,sex,work_xp,ssc_pct,ssc_board,hsc_pct,hsc_board,hsc_spc,degree_pct,degree_type,etest_pct,specialisation,mba_pct,salary,GENERAL APPEARANCE,MANNER OF SPEAKING,PHYSICAL CONDITION,MENTAL ALERTNESS,SELF-CONFIDENCE,ABILITY TO PRESENT IDEAS,COMMUNICATION SKILLS,Student Performance Rating,CLASS
1,M,Yes,85,Central,60,Others,Science,73.43,Sci&Tech,60,Mkt&Fin,61.29,260000,4,5,4,5,5,5,5,5,Employable
2,F,Yes,83.84,Others,89.83,Others,Commerce,77.2,Comm&Mgmt,78.74,Mkt&Fin,76.18,400000,4,4,4,4,4,4,3,5,Employable
3,M,No,62,Others,63,Others,Commerce,64,Comm&Mgmt,67,Mkt&Fin,57.03,220000,4,3,3,3,3,3,2,5,LessEmployable
4,M,Yes,51.57,Others,74.66,Others,Commerce,59.9,Comm&Mgmt,56.15,Mkt&HR,65.99,,3,3,3,2,3,3,3,5,LessEmployable
5,M,Yes,52,Central,63,Others,Science,65,Sci&Tech,86,Mkt&HR,56.09,,4,4,3,3,4,4,3,5,Employable
6,F,No,50,Others,37,Others,Arts,52,Others,65,Mkt&HR,56.11,,4,4,3,3,3,3,3,5,Employable
7,F,No,84,Central,73,Central,Commerce,73,Comm&Mgmt,75,Mkt&Fin,73.33,350000,4,4,4,3,3,3,3,3,Employable
8,M,No,54.4,Central,61.12,Central,Commerce,56.2,Comm&Mgmt,67,Mkt&HR,62.65,,5,3,3,4,3,3,3,5,Employable
9,M,No,70,Central,74,Central,Commerce,65,Comm&Mgmt,83,Mkt&Fin,62.28,300000,4,4,4,4,4,4,4,5,Employable
10,M,No,73,Central,79,Central,Commerce,72,Comm&Mgmt,91.34,Mkt&Fin,61.29,231000,4,4,3,4,3,4,4,5,Employable
11,M,No,74,Central,62,Others,Science,68,Comm&Mgmt,74,Mkt&Fin,57.99,268000,5,5,5,5,5,5,4,5,LessEmployable
12,M,Yes,73,Central,64,Others,Commerce,77,Comm&Mgmt,65,Mkt&HR,60.98,250000,3,4,4,4,3,4,4,5,Employable
13,F,No,77,Central,87,Central,Commerce,59,Comm&Mgmt,68,Mkt&Fin,68.63,218000,4,3,3,2,3,3,2,5,LessEmployable
14,M,No,63,Others,71.4,Others,Commerce,61.4,Comm&Mgmt,68,Mkt&Fin,66.88,240000,3,3,3,3,3,2,2,4,LessEmployable
15,M,Yes,63,Central,66.2,Central,Commerce,65.6,Comm&Mgmt,60,Mkt&Fin,62.54,300000,4,4,3,4,4,4,3,5,LessEmployable
16,F,No,40.89,Others,45.83,Others,Commerce,53,Comm&Mgmt,71.2,Mkt&HR,65.49,,3,3,3,3,3,3,3,4,LessEmployable
17,F,Yes,87,Others,65,Others,Science,81,Comm&Mgmt,88,Mkt&Fin,72.78,260000,5,3,3,3,3,3,3,4,LessEmployable
18,M,Yes,60.8,Central,68.4,Central,Commerce,64.6,Comm&Mgmt,82.66,Mkt&Fin,64.34,940000,4,4,4,4,4,4,4,5,LessEmployable
19,M,No,73,Others,58,Others,Commerce,56,Comm&Mgmt,84,Mkt&HR,52.64,300000,4,4,4,5,5,4,4,5,LessEmployable
20,F,Yes,84,Others,75,Others,Science,69,Sci&Tech,62,Mkt&HR,62.36,210000,4,3,3,4,5,4,3,5,LessEmployable
21,M,No,69,Others,65,Others,Commerce,57,Comm&Mgmt,73,Mkt&HR,55.8,265000,5,4,5,4,4,4,4,5,Employable
22,M,Yes,78.5,Central,65.5,Central,Science,67,Sci&Tech,95,Mkt&Fin,64.86,280000,5,4,4,4,4,4,4,3,Employable
23,M,Yes,53,Central,63,Others,Science,60,Comm&Mgmt,70,Mkt&Fin,53.2,250000,5,4,5,5,5,5,4,5,Employable
24,M,No,85.8,Central,73.6,Central,Commerce,73.3,Comm&Mgmt,96.8,Mkt&Fin,55.5,425000,4,3,3,3,5,3,3,3,LessEmployable
25,F,No,43,Central,60,Others,Science,65,Comm&Mgmt,92.66,Mkt&HR,62.92,,5,5,5,5,5,4,4,4,Employable
26,F,No,66.5,Others,70.4,Central,Arts,71.93,Comm&Mgmt,61,Mkt&Fin,64.27,230000,5,5,4,4,5,5,4,3,Employable
27,M,No,61.8,Others,47,Others,Commerce,54.38,Comm&Mgmt,57,Mkt&Fin,56.13,,4,4,4,4,3,3,3,3,LessEmployable
28,M,No,70,Central,63,Central,Science,66,Sci&Tech,61.28,Mkt&HR,60.11,240000,5,5,5,5,5,4,4,3,Employable
29,F,No,70.5,Central,62.5,Others,Commerce,61,Comm&Mgmt,93.91,Mkt&Fin,69.03,,5,4,4,4,4,5,4,5,Employable
30,M,No,63,Others,67,Others,Commerce,66,Comm&Mgmt,68,Mkt&HR,57.69,265000,5,5,5,5,5,5,4,5,Employable
31,M,No,80,Others,73,Others,Commerce,75,Comm&Mgmt,61,Mkt&Fin,58.78,240000,4,3,4,4,3,4,3,5,LessEmployable
32,M,No,77,Others,75,Others,Science,73,Sci&Tech,80,Mkt&Fin,67.05,240000,4,3,4,4,3,3,3,3,LessEmployable
33,M,No,62,Others,51,Others,Science,52,Others,68.44,Mkt&HR,62.77,,5,5,4,5,5,4,4,5,LessEmployable
34,F,No,75.2,Central,73.2,Central,Science,68.4,Comm&Mgmt,65,Mkt&HR,62.98,200000,4,4,4,5,5,4,3,5,LessEmployable
35,M,Yes,83.33,Central,78,Others,Commerce,61,Comm&Mgmt,88.56,Mkt&Fin,71.55,300000,5,4,5,5,5,5,5,5,Employable
36,M,Yes,58,Central,61,Central,Commerce,60,Comm&Mgmt,62,Mkt&HR,60.85,260000,5,3,3,4,5,3,3,3,Employable
37,M,Yes,73,Central,73,Central,Science,66,Sci&Tech,70,Mkt&Fin,68.07,275000,5,5,5,5,4,5,4,5,Employable
38,M,No,87,Others,87,Others,Commerce,68,Comm&Mgmt,95,Mkt&HR,62.9,300000,5,5,4,5,4,5,5,5,Employable
